sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
ERR3770615.ERS4186739,overlap,aquatic;ocean,aquatic,sea,10,148,19.417,110.762,25.5720774906697,0.0675675675675676
SRR6457092.SRS2822129,parallel,aquatic;sea,aquatic,sea,7,113,28,-88,25.7903448048793,0.0619469026548673
SRR2103887.SRS993300,overlap,aquatic;marine,aquatic,sea,24,347,54.174,7.885,11.5055094338754,0.069164265129683
SRR2558932.SRS1099664,parallel,aquatic;sea,aquatic,sea,7,121,29.158,-88.016,24.7443029673381,0.0578512396694215
SRR11177242.SRS6213104,parallel,aquatic;marine,aquatic,sea,5,85,-64.046,72.45,-1.0639976605207,0.0588235294117647
SRR5179811.SRS1921995,overlap,aquatic;marine,aquatic,sea,15,157,42.25,-70.54,10.8754882697101,0.0955414012738854
SRR5483164.SRS2150660,parallel,aquatic;sea,aquatic,sea,12,105,40.247,121.622,12.2697990667404,0.114285714285714
SRR5043850.SRS1812993,parallel,aquatic;sea,aquatic,sea,0,25,22.252,38.956,28.3056817181586,0
SRR7078348.SRS3229879,parallel,aquatic;marine,aquatic,sea,4,106,-33.95,151.9,21.2591289828793,0.0377358490566038
SRR3933434.SRS1572518,parallel,aquatic;sea,aquatic,sea,29,449,47,-48.288,4.76083752732158,0.0645879732739421
SRR6078458.SRS2542846,overlap,aquatic;marine,aquatic,sea,0,53,40.61,2.81,18.9126934421301,0
SRR7648337.SRS3630430,overlap,aquatic;marine,aquatic,sea,6,49,22.75,-158,24.929736343873,0.122448979591837
DRR199942.DRS147645,overlap,aquatic;marine,aquatic,sea,6,115,28.25,122.4,22.2374978960452,0.0521739130434783
SRR2104188.SRS993302,overlap,aquatic;marine,aquatic,sea,3,84,55.18,7.9,10.9677788647,0.0357142857142857
SRR7032917.SRS2777197,parallel,aquatic;marine,aquatic,sea,3,36,-42.169,-174.255,14.9542038645832,0.0833333333333333
SRR7970059.SRS3882415,parallel,aquatic;marine,aquatic,sea,12,403,-64.791,-64.069,-0.453997967009932,0.0297766749379653
SRR11728005.SRS6609123,overlap,aquatic;estuary,aquatic,estuary,18,225,37.58,126.5,14.8748920879793,0.08
SRR8819648.SRS2777380,parallel,aquatic;marine,aquatic,sea,3,35,-49.499,-170.017,10.2125516395705,0.0857142857142857
SRR1302607.SRS622520,overlap,aquatic;ocean,aquatic,sea,4,74,48.122,-8.814,14.1637216266651,0.0540540540540541
ERR1685358.ERS1403716,overlap,aquatic;marine,aquatic,sea,0,19,61.583,-4.25,9.22275978468809,0
ERR1756342.ERS493860,overlap,aquatic;marine,aquatic,sea,6,150,6.481,-94.97,27.4858448089912,0.04
SRR6472317.SRS2834666,parallel,aquatic;marine,aquatic,sea,2,78,-27.345,153.562,24.0868335801995,0.0256410256410256
SRR6130875.SRS2566300,parallel,aquatic;sea,aquatic,sea,0,18,34.343,-119.863,14.5231513951732,0
SRR8815378.SRS3194163,parallel,aquatic;marine,aquatic,sea,2,43,-12.4,130.768,28.9461353816235,0.0465116279069768
SRR5915303.SRS2417573,parallel,aquatic;marine,aquatic,sea,0,38,-34.321,152.062,21.1924144727207,0
ERR3418516.ERS3564571,overlap,aquatic;ocean,aquatic,sea,6,52,25.304,-90.066,26.5835907465653,0.115384615384615
SRR7599050.SRS3194340,parallel,aquatic;marine,aquatic,sea,5,61,-32,115.417,20.61662236222,0.0819672131147541
SRR5215593.SRS1943673,parallel,aquatic;sea,aquatic,sea,2,56,-39.58,173.18,15.9159252915844,0.0357142857142857
SRR6131101.SRS2566424,parallel,aquatic;sea,aquatic,sea,0,13,34.343,-119.863,14.5231513951732,0
SRR6287238.SRS2683727,parallel,aquatic;sea,aquatic,sea,2,111,31.625,123.146,18.5793680003733,0.018018018018018
SRR5150169.SRS1900497,overlap,aquatic;marine,aquatic,sea,4,122,51.85,2.99,12.4948708326256,0.0327868852459016
SRR12007343.SRS6835485,parallel,aquatic;sea,aquatic,sea,0,24,16.33,112.02,27.5629701750771,0
SRR7034159.SRS3194206,parallel,aquatic;marine,aquatic,sea,2,44,-27.345,153.562,24.0868335801995,0.0454545454545455
SRR2975948.SRS1192000,parallel,aquatic;marine,aquatic,sea,8,125,-22.28,166.26,24.7478448884929,0.064
SRR7033386.SRS2777271,parallel,aquatic;marine,aquatic,sea,2,64,-32.001,-169.994,19.7305029153328,0.03125
SRR7596108.SRS3195542,parallel,aquatic;marine,aquatic,sea,3,14,-18.574,146.496,25.9860210081634,0.214285714285714
SRR8815314.SRS3194151,parallel,aquatic;marine,aquatic,sea,1,69,-42.597,148.233,14.6442606675042,0.0144927536231884
SRR6176520.SRS2597017,overlap,aquatic;marine,aquatic,sea,1,59,29.635,-93.642,22.9811816981624,0.0169491525423729
SRR8360685.SRS4179008,parallel,aquatic;ocean,aquatic,sea,0,34,-62.53,82.011,-0.760812618178975,0
SRR1812985.SRS852412,parallel,aquatic;marine,aquatic,sea,9,110,21.43,-157.79,25.1475308893326,0.0818181818181818
SRR6176835.SRS2596978,overlap,aquatic;marine,aquatic,sea,4,58,29.635,-93.642,22.9811816981624,0.0689655172413793
SRR1593656.SRS713829,overlap,aquatic;marine,aquatic,sea,9,97,-23.442,151.913,24.5563087668669,0.0927835051546392
SRR6235405.SRS2644911,parallel,aquatic;ocean,aquatic,sea,2,47,29.531,-92.326,23.3045737553234,0.0425531914893617
SRR7544940.SRS3564974,parallel,aquatic;sea,aquatic,sea,1,94,56.057,12.646,10.1375863639455,0.0106382978723404
SRR7035176.SRS3194635,parallel,aquatic;marine,aquatic,sea,2,36,-34.073,151.154,20.2723059245786,0.0555555555555556
SRR3821581.SRS1552050,overlap,aquatic;marine,aquatic,sea,2,69,-62.487,-57.868,-0.393105764382725,0.0289855072463768
SRR8172676.SRS4028649,parallel,aquatic;marine,aquatic,sea,0,27,-35.78,175.17,18.0481883159139,0
SRR1555744.SRS687928,overlap,aquatic;marine,aquatic,sea,12,148,73.763,8.464,5.04722870340898,0.0810810810810811
SRR5179932.SRS1922052,overlap,aquatic;marine,aquatic,sea,15,123,42.25,-70.54,10.8754882697101,0.121951219512195
SRR6131070.SRS2566455,parallel,aquatic;sea,aquatic,sea,0,17,34.25,-119.906,14.864689463225,0
SRR7962475.SRS3875284,parallel,aquatic;sea,aquatic,sea,9,305,36.831,-121.905,12.3411170362755,0.0295081967213115
SRR7032884.SRS2777373,parallel,aquatic;marine,aquatic,sea,2,27,-48.995,-170.004,10.8373546982621,0.0740740740740741
SRR8162945.SRS4021122,overlap,aquatic;marine,aquatic,sea,0,31,32.167,-64.5,23.2418697495524,0
SRR11482984.SRS5634313,parallel,aquatic;sea,aquatic,sea,3,34,35,123.5,17.0990733363587,0.0882352941176471
SRR4434712.SRS1753565,parallel,aquatic;marine,aquatic,sea,2,18,22.186,-158.228,25.1193281106404,0.111111111111111
SRR8190848.SRS4044384,overlap,aquatic;ocean,aquatic,sea,6,71,20.077,38.512,29.1754311890607,0.0845070422535211
SRR5181245.SRS1922044,overlap,aquatic;marine,aquatic,sea,2,26,42.25,-70.54,10.8754882697101,0.0769230769230769
SRR5181304.SRS1922009,overlap,aquatic;marine,aquatic,sea,3,31,42.25,-70.54,10.8754882697101,0.0967741935483871
SRR6287303.SRS2683740,parallel,aquatic;sea,aquatic,sea,2,83,27.888,124.098,22.7870039783325,0.0240963855421687
SRR8216005.SRS4060755,parallel,aquatic;marine,aquatic,sea,0,28,42.832,-61.732,10.4795155713833,0
SRR8248044.SRS4081627,overlap,aquatic;sea,aquatic,sea,2,63,59.495,27.796,8.24126212052974,0.0317460317460317
SRR8651844.SRS4426234,parallel,aquatic;ocean,aquatic,sea,10,182,42.11,-70.54,10.7533664544556,0.054945054945055
SRR8817418.SRS2834166,parallel,aquatic;marine,aquatic,sea,1,23,-2.5,-168.751,28.4651868913284,0.0434782608695652
SRR8635151.SRS4412683,parallel,aquatic;marine,aquatic,sea,1,40,42,-70,11.1425161573407,0.025
SRR2001483.SRS924828,parallel,aquatic;ocean,aquatic,sea,1,38,29.1,-92.2,23.5755742248057,0.0263157894736842
SRR4435220.SRS1754102,parallel,aquatic;marine,aquatic,sea,0,10,22.45,-158,24.9840724329664,0
SRR6401365.SRS2777744,parallel,aquatic;marine,aquatic,sea,2,77,-31.863,115.708,19.9155409032845,0.025974025974026
SRR2098549.SRS988881,overlap,aquatic;marine,aquatic,sea,1,23,27.39,35.594,25.9103861989311,0.0434782608695652
SRR11244454.SRS6265240,overlap,aquatic;sea,aquatic,sea,8,87,22.393,39.132,28.1714121660708,0.0919540229885057
SRR9112855.SRS4809298,parallel,aquatic;sea,aquatic,sea,1,58,28.498,-87.499,25.4877308489456,0.0172413793103448
SRR6471423.SRS2834089,parallel,aquatic;marine,aquatic,sea,1,85,-34.119,151.227,20.4315708716673,0.0117647058823529
SRR3821382.SRS1551925,overlap,aquatic;marine,aquatic,sea,2,35,-61.968,-60.489,-0.0548520844308715,0.0571428571428571
SRR1768602.SRS821385,overlap,aquatic;marine,aquatic,sea,2,109,51.22,2.86,12.709371457614,0.018348623853211
SRR10229871.SRS5477299,parallel,aquatic;marine,aquatic,sea,11,180,22.495,-65.6,26.9764963783805,0.0611111111111111
SRR11001173.SRS6090890,parallel,aquatic;marine,aquatic,sea,4,83,-27.43,-48.45,22.015718928824,0.0481927710843374
SRR3500237.SRS1434512,overlap,aquatic;sea,aquatic,sea,0,66,54.454,10.198,10.5938604259693,0
SRR12693397.SRS7410845,parallel,aquatic;sea,aquatic,sea,2,48,-62.168,-58.444,-0.183135530108014,0.0416666666666667
SRR2001500.SRS924811,parallel,aquatic;ocean,aquatic,sea,3,45,29.1,-92.2,23.5755742248057,0.0666666666666667
SRR5462502.SRS2136383,parallel,aquatic;sea,aquatic,sea,0,12,16,118,28.3350601663318,0
SRR8816906.SRS2777920,parallel,aquatic;marine,aquatic,sea,1,24,-58.001,-170.01,4.34095924491905,0.0416666666666667
